,close
0,1849.97
1,1850.51
2,1850.79
3,1850.24
4,1850.6
5,1849.84
6,1850.79
7,1850.8
8,1850.64
9,1850.3
10,1850.05
11,1850.28
12,1850.2
13,1849.83
14,1849.7
15,1848.84
16,1848.84
17,1849.79
18,1849.89
19,1849.81
20,1850.8
21,1851.38
22,1852.4
23,1852.94
24,1852.4
25,1853.26
26,1853.75
27,1853.75
28,1853.78
29,1854.16
30,1854.3
31,1855.6
32,1855.34
33,1855.6
34,1855.68
35,1854.6
36,1853.93
37,1853.94
38,1854.8
39,1854.64
40,1854.4
41,1854.2
42,1853.38
43,1853.6
44,1853.6
45,1853.02
46,1852.8
47,1852.75
48,1852.8
49,1852.4
50,1852.4
51,1852.41
52,1852.2
53,1852.2
54,1852.01
55,1851.98
56,1851.61
57,1851.41
58,1851.1
59,1851.18
60,1850.94
61,1850.89
62,1851.21
63,1851.58
64,1851.39
65,1851.0
66,1851.0
67,1851.4
68,1852.44
69,1852.62
70,1850.84
71,1850.69
72,1850.61
73,1850.8
74,1848.73
75,1847.4
76,1849.2
77,1849.99
78,1851.0
79,1849.36
80,1849.6
81,1850.28
82,1851.07
83,1850.81
84,1852.19
85,1854.66
86,1854.61
87,1855.01
88,1855.8
89,1854.6
90,1854.2
91,1854.49
92,1853.81
93,1853.5
94,1853.78
95,1852.16
96,1851.9
97,1851.99
98,1852.0
99,1851.95
100,1852.19
101,1852.4
102,1852.01
103,1851.75
104,1851.76
105,1850.41
106,1850.19
107,1851.79
108,1851.87
109,1851.51
110,1850.07
111,1850.0
112,1850.21
113,1849.71
114,1849.46
115,1849.41
116,1848.68
117,1848.2
118,1848.79
119,1849.42
120,1847.61
121,1847.32
122,1845.6
123,1846.22
124,1845.6
125,1843.01
126,1843.48
127,1843.39
128,1844.51
129,1843.2
130,1843.99
131,1843.01
132,1844.08
133,1844.59
134,1843.58
135,1844.0
136,1844.59
137,1846.4
138,1846.0
139,1845.24
140,1843.18
141,1843.0
142,1843.1
143,1844.0
144,1844.58
145,1846.81
146,1846.91
147,1847.39
148,1845.94
149,1846.39
150,1845.44
151,1845.39
152,1845.7
153,1843.42
154,1843.77
155,1843.41
156,1843.26
157,1843.4
158,1843.59
159,1843.79
160,1843.0
161,1843.43
162,1843.89
163,1843.66
164,1843.81
165,1844.2
166,1843.41
167,1842.61
168,1841.6
169,1842.63
170,1841.97
171,1842.2
172,1842.23
173,1842.47
174,1843.81
175,1845.2
176,1844.81
177,1845.07
178,1844.14
179,1844.39
180,1845.97
181,1846.68
182,1847.23
183,1844.97
184,1846.37
185,1846.83
186,1847.19
187,1847.54
188,1848.6
189,1849.52
190,1850.27
191,1850.19
192,1851.4
193,1852.84
194,1854.06
195,1851.82
196,1852.39
197,1852.0
198,1851.99
199,1850.5
200,1850.73
201,1849.23
202,1850.59
203,1851.26
204,1852.06
205,1851.03
206,1851.21
207,1851.02
208,1852.4
209,1854.85
210,1854.34
211,1854.0
212,1856.2
213,1857.2
214,1856.61
215,1856.54
216,1858.2
217,1859.16
218,1865.22
219,1862.6
220,1862.74
221,1861.59
222,1859.31
223,1859.62
224,1860.99
225,1862.2
226,1859.4
227,1858.01
228,1859.3
229,1859.21
230,1861.51
231,1861.1
232,1861.75
233,1862.6
234,1861.41
235,1860.6
236,1861.98
237,1861.39
238,1860.61
239,1860.51
240,1859.8
241,1861.49
242,1861.81
243,1860.05
244,1860.95
245,1861.8
246,1861.61
247,1862.09
248,1863.4
249,1863.51
250,1864.14
251,1864.46
252,1865.47
253,1865.63
254,1865.35
255,1862.81
256,1864.8
257,1865.93
258,1866.16
259,1865.9
260,1865.93
261,1867.35
262,1867.49
263,1865.07
264,1867.12
265,1867.47
266,1868.29
267,1867.2
268,1868.33
269,1870.46
270,1869.4
271,1871.8
272,1873.12
273,1873.19
274,1874.03
275,1877.01
276,1877.12
277,1874.39
278,1874.39
279,1874.8
280,1876.36
281,1874.93
282,1875.4
283,1874.37
284,1873.36
285,1872.78
286,1872.18
287,1870.74
288,1871.51
289,1868.51
290,1870.85
291,1870.01
292,1869.8
293,1870.06
294,1869.19
295,1869.62
296,1870.7
297,1870.41
298,1872.98
299,1872.39
300,1874.17
301,1874.76
302,1874.8
303,1874.0
304,1873.62
305,1874.74
306,1876.21
307,1875.6
308,1875.8
309,1876.5
310,1877.12
311,1877.46
312,1877.19
313,1875.42
314,1875.4
315,1874.42
316,1872.01
317,1868.94
318,1871.79
319,1872.38
320,1873.99
321,1876.26
322,1876.6
323,1877.17
324,1877.19
325,1876.4
326,1875.37
327,1875.2
328,1876.33
329,1876.16
330,1876.7
331,1879.6
332,1881.39
333,1883.99
334,1887.55
335,1888.86
336,1888.55
337,1888.4
338,1887.57
339,1889.6
340,1893.87
341,1895.39
342,1894.0
343,1896.4
344,1896.93
345,1896.48
346,1900.0
347,1904.99
348,1902.4
349,1902.69
350,1904.59
351,1907.01
352,1906.21
353,1905.59
354,1903.64
355,1906.93
356,1904.53
357,1903.01
358,1899.3
359,1887.2
360,1892.2
361,1892.41
362,1887.46
363,1887.59
364,1888.87
365,1890.35
366,1890.11
367,1891.71
368,1890.21
369,1889.01
370,1890.06
371,1891.21
372,1890.59
373,1892.0
374,1893.35
375,1893.71
376,1894.21
377,1894.13
378,1892.28
379,1893.99
380,1894.61
381,1894.98
382,1892.6
383,1890.01
384,1889.81
385,1892.81
386,1890.62
387,1891.4
388,1893.07
389,1892.74
390,1891.41
391,1888.71
392,1886.91
393,1886.41
394,1885.99
395,1887.39
396,1889.44
397,1887.2
398,1887.96
399,1888.05
400,1888.99
401,1888.95
402,1888.6
403,1887.0
404,1886.01
405,1886.48
406,1886.79
407,1886.79
408,1885.4
409,1884.2
410,1884.18
411,1881.15
412,1876.88
413,1880.46
414,1879.2
415,1880.62
416,1878.8
417,1879.42
418,1880.91
419,1881.09
420,1881.0
421,1882.64
422,1881.65
423,1880.41
424,1878.86
425,1877.1
426,1877.0
427,1877.62
428,1876.19
429,1875.99
430,1877.79
431,1879.18
432,1878.8
433,1878.83
434,1878.54
435,1879.01
436,1877.41
437,1875.04
438,1875.68
439,1875.03
440,1875.87
441,1875.0
442,1875.4
443,1875.2
444,1875.33
445,1877.37
446,1877.8
447,1878.63
448,1877.2
449,1876.03
450,1876.21
451,1877.0
452,1876.86
453,1876.08
454,1875.23
455,1874.95
456,1875.74
457,1876.4
458,1876.4
459,1876.23
460,1876.87
461,1875.7
462,1875.7
463,1875.61
464,1875.6
465,1875.23
466,1875.14
467,1875.36
468,1874.76
469,1874.8
470,1873.62
471,1873.14
472,1873.23
473,1873.25
474,1873.69
475,1874.63
476,1874.92
477,1874.56
478,1873.79
479,1873.68
480,1874.51
481,1874.99
482,1875.63
483,1878.01
484,1877.8
485,1878.71
486,1879.2
487,1879.99
488,1880.21
489,1879.41
490,1880.96
491,1880.87
492,1882.51
493,1881.0
494,1879.88
495,1879.0
496,1878.59
497,1879.6
498,1879.31
499,1879.5
500,1877.48
501,1877.59
502,1877.33
503,1876.92
504,1877.19
505,1876.49
506,1876.31
507,1875.01
508,1873.77
509,1873.62
510,1875.05
511,1876.6
512,1878.09
513,1879.31
514,1879.57
515,1880.8
516,1881.23
517,1882.0
518,1881.62
519,1881.81
520,1882.3
521,1882.4
522,1882.46
523,1883.06
524,1883.64
525,1883.27
526,1883.26
527,1884.1
528,1884.1
529,1884.11
530,1883.81
531,1888.17
532,1888.18
533,1887.0
534,1887.77
535,1887.22
536,1887.59
537,1887.36
538,1887.84
539,1886.75
540,1886.61
541,1885.37
542,1884.8
543,1885.54
544,1885.99
545,1886.6
546,1886.38
547,1886.37
548,1885.6
549,1885.79
550,1885.22
551,1885.78
552,1885.8
553,1885.41
554,1885.6
555,1885.24
556,1886.6
557,1887.53
558,1887.18
559,1887.58
560,1887.05
561,1887.04
562,1887.25
563,1887.21
564,1886.8
565,1887.69
566,1886.12
567,1885.54
568,1883.88
569,1885.8
570,1885.8
571,1885.01
572,1884.91
573,1885.8
574,1885.8
575,1885.81
576,1886.59
577,1886.79
578,1886.25
579,1886.79
580,1887.39
581,1888.7
582,1890.0
583,1890.75
584,1890.6
585,1888.06
586,1888.99
587,1887.71
588,1887.61
589,1888.19
590,1889.79
591,1889.0
592,1889.99
593,1890.4
594,1890.86
595,1890.54
596,1890.59
597,1890.0
598,1889.21
599,1888.19
600,1883.79
601,1883.39
602,1883.59
603,1885.13
604,1884.4
605,1884.58
606,1885.99
607,1886.82
608,1886.59
609,1886.02
610,1886.98
611,1884.25
612,1884.5
613,1886.6
614,1886.26
615,1886.95
616,1884.82
617,1885.15
618,1884.82
619,1883.59
620,1882.79
621,1884.71
622,1885.03
623,1885.9
624,1884.87
625,1885.61
626,1887.27
627,1886.69
628,1886.21
629,1886.79
630,1887.39
631,1888.73
632,1889.79
633,1889.89
634,1889.61
635,1889.0
636,1888.2
637,1887.06
638,1887.08
639,1887.25
640,1887.64
641,1887.6
642,1887.52
643,1887.6
644,1888.2
645,1888.59
646,1886.81
647,1886.61
648,1887.15
649,1886.4
650,1885.4
651,1883.93
652,1883.82
653,1884.1
654,1884.37
655,1884.57
656,1886.58
657,1885.63
658,1885.01
659,1884.61
660,1885.98
661,1885.07
662,1884.75
663,1884.75
664,1884.4
665,1884.59
666,1885.84
667,1885.79
668,1887.62
669,1888.69
670,1888.74
671,1889.56
672,1889.82
673,1888.82
674,1889.32
675,1889.21
676,1889.75
677,1889.75
678,1891.99
679,1893.4
680,1891.81
681,1891.8
682,1889.29
683,1890.01
684,1889.4
685,1890.19
686,1891.19
687,1891.6
688,1889.2
689,1888.39
690,1889.19
691,1889.0
692,1886.52
693,1884.98
694,1886.01
695,1885.28
696,1885.79
697,1885.6
698,1887.18
699,1886.6
700,1886.78
701,1886.6
702,1887.59
703,1888.39
704,1889.02
705,1890.92
706,1891.41
707,1891.8
708,1891.59
709,1892.0
710,1892.0
711,1892.29
712,1892.8
713,1891.84
714,1892.59
715,1893.01
716,1892.1
717,1891.01
718,1891.19
719,1891.45
720,1892.39
721,1891.12
722,1890.79
723,1890.59
724,1890.04
725,1889.34
726,1890.39
727,1889.79
728,1889.66
729,1890.0
730,1889.8
731,1889.8
732,1890.19
733,1890.3
734,1890.31
735,1890.11
736,1889.24
737,1888.79
738,1887.62
739,1888.4
740,1889.75
741,1889.43
742,1888.92
743,1889.19
744,1889.19
745,1888.2
746,1887.6
747,1887.32
748,1887.39
749,1887.39
750,1888.4
751,1888.39
752,1888.77
753,1887.98
754,1887.98
755,1887.0
756,1886.23
757,1885.78
758,1886.73
759,1886.53
760,1888.53
761,1889.2
762,1888.83
763,1888.79
764,1888.92
765,1889.69
766,1890.52
767,1890.33
768,1891.11
769,1890.8
770,1890.41
771,1890.17
772,1890.06
773,1890.59
774,1891.01
775,1890.01
776,1890.0
777,1890.09
778,1891.71
779,1890.0
780,1891.41
781,1891.4
782,1891.41
783,1892.19
784,1892.0
785,1892.59
786,1895.0
787,1895.05
788,1895.2
789,1896.2
790,1893.55
791,1890.0
792,1888.68
793,1887.58
794,1888.48
795,1889.75
796,1890.4
797,1892.0
798,1892.66
799,1891.62
800,1892.07
801,1890.8
802,1891.4
803,1891.2
804,1893.36
805,1896.4
806,1894.31
807,1895.79
808,1895.99
809,1896.99
810,1897.01
811,1902.52
812,1895.89
813,1896.85
814,1898.4
815,1901.6
816,1901.76
817,1900.4
818,1898.6
819,1900.2
820,1901.74
821,1901.06
822,1899.8
823,1901.66
824,1901.99
825,1901.6
826,1903.76
827,1903.92
828,1904.79
829,1905.27
830,1912.68
831,1909.16
832,1905.81
833,1906.03
834,1906.0
835,1906.41
836,1907.96
837,1904.99
838,1904.4
839,1905.81
840,1907.67
841,1907.58
842,1906.61
843,1903.61
844,1901.39
845,1903.53
846,1901.62
847,1900.01
848,1899.4
849,1899.79
850,1900.49
851,1899.63
852,1901.75
853,1902.74
854,1903.69
855,1903.01
856,1901.9
857,1902.0
858,1902.7
859,1902.2
860,1903.99
861,1905.0
862,1905.74
863,1905.92
864,1905.87
865,1905.4
866,1905.49
867,1905.94
868,1906.24
869,1905.49
870,1904.06
871,1905.04
872,1904.58
873,1903.8
874,1906.6
875,1892.8
876,1880.05
877,1879.41
878,1863.37
879,1870.4
880,1866.8
881,1846.16
882,1856.14
883,1858.27
884,1862.57
885,1854.4
886,1847.39
887,1829.49
888,1841.39
889,1843.5
890,1835.71
891,1844.57
892,1843.67
893,1846.14
894,1843.01
895,1839.87
896,1837.49
897,1843.21
898,1851.02
899,1854.25
900,1853.0
901,1845.65
902,1847.78
903,1846.19
904,1847.01
905,1848.8
906,1849.0
907,1854.99
908,1854.54
909,1852.0
910,1851.19
911,1853.46
912,1856.1
913,1858.6
914,1858.47
915,1855.4
916,1854.8
917,1856.83
918,1854.41
919,1854.8
920,1854.21
921,1854.0
922,1854.34
923,1855.91
924,1855.29
925,1857.78
926,1859.39
927,1857.01
928,1855.6
929,1855.0
930,1853.42
931,1851.98
932,1851.75
933,1853.89
934,1853.43
935,1852.56
936,1850.66
937,1850.01
938,1849.21
939,1851.6
940,1849.46
941,1847.97
942,1847.37
943,1847.42
944,1847.87
945,1848.51
946,1847.03
947,1846.01
948,1845.2
949,1843.21
950,1845.97
951,1848.87
952,1849.19
953,1850.85
954,1850.23
955,1848.79
956,1846.13
957,1844.27
958,1846.19
959,1844.4
960,1843.72
961,1847.31
962,1848.19
963,1848.1
964,1849.16
965,1847.4
966,1849.94
967,1851.21
968,1852.29
969,1851.39
970,1850.03
971,1849.81
972,1850.6
973,1850.57
974,1851.78
975,1851.19
976,1850.41
977,1850.19
978,1851.19
979,1852.44
980,1852.19
981,1851.99
982,1852.2
983,1850.4
984,1849.0
985,1848.78
986,1847.8
987,1848.22
988,1846.79
989,1848.79
990,1846.25
991,1847.39
992,1847.56
993,1847.98
994,1847.32
995,1846.28
996,1846.99
997,1846.6
998,1848.08
999,1848.27
1000,1845.57
1001,1845.22
1002,1846.6
1003,1846.55
1004,1845.39
1005,1844.34
1006,1846.59
1007,1844.61
1008,1845.92
1009,1846.73
1010,1844.89
1011,1845.39
1012,1847.41
1013,1845.23
1014,1845.08
1015,1846.21
1016,1849.61
1017,1850.61
1018,1850.9
1019,1851.19
1020,1850.59
1021,1851.0
1022,1851.42
1023,1850.73
1024,1852.32
1025,1850.39
1026,1849.27
1027,1849.2
1028,1849.01
1029,1849.35
1030,1849.59
1031,1850.6
1032,1850.05
1033,1851.89
1034,1853.81
1035,1854.18
1036,1854.94
1037,1854.99
1038,1856.42
1039,1856.61
1040,1857.51
1041,1858.23
1042,1859.05
1043,1860.9
1044,1861.33
1045,1862.13
1046,1862.28
1047,1861.91
1048,1864.05
1049,1862.39
1050,1862.2
1051,1864.81
1052,1866.46
1053,1868.92
1054,1871.57
1055,1872.2
1056,1871.26
1057,1873.02
1058,1876.84
1059,1876.06
1060,1878.29
1061,1878.88
1062,1890.24
1063,1886.96
1064,1884.85
1065,1889.61
1066,1882.41
1067,1882.81
1068,1887.0
1069,1888.61
1070,1893.75
1071,1895.41
1072,1896.7
1073,1894.56
1074,1895.81
1075,1899.73
1076,1902.35
1077,1902.0
1078,1899.4
1079,1897.8
1080,1903.0
1081,1910.73
1082,1905.86
1083,1911.83
1084,1914.37
1085,1915.2
1086,1910.82
1087,1914.57
1088,1913.05
1089,1908.84
1090,1913.03
1091,1911.0
1092,1912.95
1093,1916.6
1094,1916.66
1095,1921.08
1096,1925.29
1097,1922.61
1098,1920.17
1099,1924.38
1100,1922.99
1101,1924.12
1102,1929.0
1103,1926.0
1104,1932.12
1105,1933.21
1106,1936.64
1107,1931.64
1108,1925.87
1109,1923.61
1110,1923.17
1111,1924.79
1112,1922.83
1113,1924.52
1114,1924.4
1115,1925.96
1116,1927.24
1117,1927.8
1118,1926.93
1119,1928.47
1120,1934.31
1121,1942.7
1122,1942.6
1123,1940.36
1124,1945.5
1125,1940.0
1126,1941.35
1127,1938.18
1128,1939.6
1129,1938.28
1130,1939.4
1131,1938.6
1132,1939.74
1133,1937.84
1134,1939.59
1135,1940.0
1136,1940.67
1137,1938.87
1138,1931.77
1139,1931.38
1140,1934.75
1141,1938.56
1142,1939.61
1143,1938.78
1144,1938.81
1145,1941.59
1146,1940.32
1147,1938.04
1148,1932.87
1149,1926.4
1150,1928.81
1151,1929.38
1152,1929.07
1153,1930.96
1154,1928.76
1155,1929.18
1156,1927.39
1157,1928.05
1158,1928.97
1159,1929.3
1160,1931.29
1161,1932.2
1162,1933.71
1163,1932.81
1164,1932.88
1165,1931.6
1166,1927.38
1167,1925.48
1168,1925.41
1169,1926.18
1170,1928.0
1171,1926.0
1172,1924.8
1173,1925.05
1174,1924.13
1175,1921.21
1176,1918.4
1177,1916.79
1178,1917.24
1179,1920.99
1180,1920.91
1181,1920.71
1182,1918.2
1183,1920.79
1184,1916.78
1185,1920.31
1186,1918.23
1187,1919.17
1188,1921.2
1189,1922.8
1190,1922.56
1191,1923.03
1192,1923.99
1193,1922.96
1194,1922.01
1195,1919.94
1196,1921.0
1197,1921.74
1198,1922.94
1199,1923.99
1200,1924.51
1201,1923.2
1202,1920.93
1203,1922.0
1204,1922.2
1205,1920.31
1206,1921.61
1207,1926.31
1208,1922.7
1209,1922.8
1210,1923.0
1211,1922.87
1212,1923.99
1213,1923.8
1214,1923.83
1215,1923.18
1216,1924.81
1217,1924.34
1218,1921.79
1219,1922.59
1220,1921.96
1221,1922.37
1222,1924.47
1223,1924.02
1224,1923.85
1225,1923.56
1226,1923.98
1227,1922.59
1228,1922.66
1229,1921.6
1230,1919.8
1231,1920.19
1232,1919.14
1233,1918.7
1234,1921.62
1235,1922.39
1236,1923.0
1237,1923.66
